Mode,Category,Subcategory,Note,Income/Expense,Amount(Pounds),date
Cash,Transportation,Train,2 Place 5 to Place 0,Expense,0.276,
Cash,Food,snacks,Idli medu Vada mix 2 plates,Expense,0.552,
Cash,Apparel,Shoes,Nike,Expense,368.0,2024-09-19
Cash,Apparel,Clothes,Pants,Expense,18.4,2024-08-19
Saving Bank account 1,subscription,Netflix,1 month subscription,Expense,1.8308,2024-09-19
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,0.1748,
Cash,Festivals,Ganesh Pujan,Ganesh idol,Expense,2.3092,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.8399999999999999,
Cash,Transportation,auto,Place 2 station to Permanent Residence,Expense,0.45999999999999996,
Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,Expense,0.368,
Credit Card,Other,,HBR 2 Months subscription,Expense,0.7636,
Cash,Food,Grocery,1kg atta,Expense,0.4232,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-09-13
Cash,Apparel,Shoes,Nike,Expense,460.0,2024-09-18
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-09-13
Credit Card,subscription,Mobile Service Provider,Data booster pack,Expense,6.1364,2024-09-12
Saving Bank account 1,Food,Lunch,Home Food Delivery,Expense,5.9799999999999995,2024-09-11
Cash,Apparel,Clothes,Pants,Expense,18.4,2024-08-11
Saving Bank account 1,Other,,From Family,Income,32.2,2024-09-11
Cash,Food,Milk,Half lit  milk,Expense,0.3312,2024-09-11
Cash,Food,Milk,Half lit  milk,Expense,0.3312,2024-09-10
Cash,Family,Pocket money,,Expense,0.368,2024-09-08
Cash,Apparel,Clothes,Skirt,Expense,9.2,2024-09-08
Cash,Apparel,Shoes,Nike,Expense,368.0,2024-09-08
Cash,Food,Milk,Half lit  milk,Expense,0.3404,2024-09-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-09-07
Cash,Food,snacks,Amul butter,Expense,0.506,2024-09-06
Cash,Apparel,Laundry,11 clothes ironing,Expense,0.7084,2024-09-05
Cash,Food,snacks,Chinese Bhel,Expense,0.276,2024-09-05
Cash,Food,snacks,Shev Puri,Expense,0.368,2024-09-05
Cash,Apparel,Shoes,Nike,Expense,276.0,2024-09-05
Cash,Food,snacks,2 kachori,Expense,0.2208,2024-09-05
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3312,2024-09-05
Saving Bank account 1,Food,breakfast,Bread,Expense,0.1656,2024-09-05
Cash,Family,Pocket money,,Expense,18.4,2024-09-03
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,115.0,2024-09-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-09-01
Cash,Family,Pocket money,,Expense,9.2,
Cash,Gift,,farewell contribution,Expense,1.0856,
Credit Card,Food,Dinner,Domino's Pizza,Expense,4.69982,
Saving Bank account 1,Salary,,From workplace ,Income,646.346,
Cash,Apparel,Clothes,Pants,Expense,13.799999999999999,2024-08-31
Cash,Food,Milk,Half lit  milk,Expense,0.3312,
Cash,Food,Sweets,Warna Srikhand pav kg,Expense,0.7176,
Cash,Household,Kirana,Supermart,Expense,3.1555999999999997,
Cash,Food,Grocery,Baking soda,Expense,0.2484,
Cash,Food,Ice cream,chocobar,Expense,0.138,
Cash,Food,Milk,Half lit  milk,Expense,0.3312,
Cash,Apparel,Clothes,Pants,Expense,13.799999999999999,2024-08-28
Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,Income,0.0621,
Saving Bank account 1,Dividend earned on Shares,,Reliance Stocks,Income,0.1656,
Cash,Food,curd,Dahi 2 packets,Expense,0.184,
Cash,Food,breakfast,2 plates poha,Expense,0.552,
Cash,Food,Biscuits,Khari packet,Expense,0.414,
Cash,Food,Milk,Half lit  milk,Expense,0.3312,
Saving Bank account 1,Interest,,interest paid,Income,0.276,
Cash,Apparel,Laundry,13 clothes ironing,Expense,0.8371999999999999,
Credit Card,Food,Dinner,Home Food Delivery,Expense,10.304,
Saving Bank account 1,Other,,From Family,Income,9.2,
Cash,Food,Rajgira ladu,,Expense,0.184,
Cash,Food,Milk,Half lit  milk,Expense,0.3312,
Cash,Festivals,Navratri,Ganpati+ navratri vargani,Expense,9.2,
Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,Expense,12.009680000000001,
